Variable,Season,Location,Value,ensemble,machine
psl,JJA,South Midlat,1.174,p004,lumi
tas,ALL,Global,23.366,p004,lumi
tas,ALL,North Midlat,10.775,p004,lumi
tas,ALL,Tropical,36.044,p004,lumi
tas,ALL,South Midlat,17.034,p004,lumi
tas,DJF,Global,15.12,p004,lumi
tas,DJF,North Midlat,7.455,p004,lumi
tas,DJF,Tropical,22.607,p004,lumi
tas,DJF,South Midlat,14.083,p004,lumi
tas,JJA,Global,28.171,p004,lumi
tas,JJA,North Midlat,26.406,p004,lumi
tas,JJA,Tropical,31.327,p004,lumi
tas,JJA,South Midlat,10.376,p004,lumi
pr,ALL,Global,,p004,lumi
pr,ALL,North Midlat,,p004,lumi
pr,ALL,Tropical,,p004,lumi
pr,ALL,South Midlat,,p004,lumi
pr,DJF,Global,,p004,lumi
pr,DJF,North Midlat,,p004,lumi
pr,DJF,Tropical,,p004,lumi
pr,DJF,South Midlat,,p004,lumi
pr,JJA,Global,,p004,lumi
pr,JJA,North Midlat,,p004,lumi
pr,JJA,Tropical,,p004,lumi
pr,JJA,South Midlat,,p004,lumi
ta,ALL,Global,11.574,p004,lumi
ta,ALL,North Midlat,14.525,p004,lumi
ta,ALL,Tropical,3.963,p004,lumi
ta,ALL,South Midlat,23.846,p004,lumi
ta,DJF,Global,11.317,p004,lumi
ta,DJF,North Midlat,3.109,p004,lumi
ta,DJF,Tropical,5.154,p004,lumi
ta,DJF,South Midlat,31.849,p004,lumi
ta,JJA,Global,17.541,p004,lumi
ta,JJA,North Midlat,53.365,p004,lumi
ta,JJA,Tropical,5.898,p004,lumi
ta,JJA,South Midlat,5.002,p004,lumi
ua,ALL,Global,3.814,p004,lumi
ua,ALL,North Midlat,2.283,p004,lumi
ua,ALL,Tropical,4.185,p004,lumi
ua,ALL,South Midlat,4.602,p004,lumi
ua,DJF,Global,2.573,p004,lumi
ua,DJF,North Midlat,0.631,p004,lumi
ua,DJF,Tropical,2.959,p004,lumi
ua,DJF,South Midlat,3.743,p004,lumi
ua,JJA,Global,8.951,p004,lumi
ua,JJA,North Midlat,4.959,p004,lumi
ua,JJA,Tropical,14.938,p004,lumi
ua,JJA,South Midlat,0.97,p004,lumi
va,ALL,Global,3.771,p004,lumi
va,ALL,North Midlat,1.969,p004,lumi
va,ALL,Tropical,2.36,p004,lumi
va,ALL,South Midlat,8.395,p004,lumi
va,DJF,Global,2.8,p004,lumi
va,DJF,North Midlat,0.734,p004,lumi
va,DJF,Tropical,3.287,p004,lumi
va,DJF,South Midlat,3.894,p004,lumi
va,JJA,Global,4.881,p004,lumi
va,JJA,North Midlat,2.283,p004,lumi
va,JJA,Tropical,6.634,p004,lumi
va,JJA,South Midlat,3.971,p004,lumi
hus,ALL,Global,3.657,p004,lumi
hus,ALL,North Midlat,2.814,p004,lumi
hus,ALL,Tropical,2.978,p004,lumi
hus,ALL,South Midlat,5.858,p004,lumi
hus,DJF,Global,6.404,p004,lumi
hus,DJF,North Midlat,6.839,p004,lumi
hus,DJF,Tropical,5.4,p004,lumi
hus,DJF,South Midlat,7.979,p004,lumi
hus,JJA,Global,14.288,p004,lumi
hus,JJA,North Midlat,24.09,p004,lumi
hus,JJA,Tropical,11.065,p004,lumi
hus,JJA,South Midlat,10.931,p004,lumi
sos,ALL,Global,137351407100.119,p004,lumi
sos,ALL,North Midlat,120788840783.818,p004,lumi
sos,ALL,Tropical,73576963883.333,p004,lumi
sos,ALL,South Midlat,252612119436.902,p004,lumi
sos,DJF,Global,96028895462.497,p004,lumi
sos,DJF,North Midlat,101356118810.077,p004,lumi
sos,DJF,Tropical,47329337832.345,p004,lumi
sos,DJF,South Midlat,174856304417.971,p004,lumi
sos,JJA,Global,108224133437.717,p004,lumi
sos,JJA,North Midlat,77469978140.525,p004,lumi
sos,JJA,Tropical,54665104405.908,p004,lumi
sos,JJA,South Midlat,213632817194.019,p004,lumi
siconc,ALL,Global,1.315,p004,lumi
siconc,ALL,North Midlat,2.095,p004,lumi
siconc,ALL,Tropical,,p004,lumi
siconc,ALL,South Midlat,0.766,p004,lumi
siconc,DJF,Global,6.044,p004,lumi
siconc,DJF,North Midlat,1.947,p004,lumi
siconc,DJF,Tropical,,p004,lumi
siconc,DJF,South Midlat,7.828,p004,lumi
siconc,JJA,Global,4.218,p004,lumi
siconc,JJA,North Midlat,5.152,p004,lumi
siconc,JJA,Tropical,,p004,lumi
